counter_id,category,oznaka_ceste,naziv,od,do,length_km,lat,lon
1267,DC,DC35,Vidovec,DC2,ŽC2061,4.1,46.28547,16.25828
2530,DC,DC34,Petrijevci obilaznica,LC44055,ŽC4301,1.5,45.6064,18.53838
2405,DC,DC34,Šag,ŽC4051,LC44028,2.8,45.64141,18.461545
2402,DC,DC34,Donji Miholjac - istok,DC53,LC44016,9.2,,
2419,DC,DC34,Donji Miholjac obilaznica,ŽC4032,DC53,2.5,45.74657,18.16528
2411,DC,DC34,Podravska Moslavina,ŽC4030,ŽC4031,8.1,45.765266,18.028231
5322,DC,DC33,Dubrava Šibenska,AC1,DC8,4.8,43.734294,15.931262
1310,DC,DC41,Peteranec,ŽC2114,ŽC2113,1.3,46.19863,16.90018
1401,DC,DC41,Gola,ŽC2116,ŽC2091,12.5,,
5903,DC,DC39,Gornja Brela,ŽC6166,LC67134,7.3,43.407834,16.908954
5908,DC,DC39,Cista Provo - jug,ŽC6171,ŽC6172,3.6,43.473002,16.925039
5511,DC,DC39,Cista Provo,LC67098,DC60,6.1,,
3605,DC,DC38,Levanjska Varoš,ŽC4144,LC44120,4.0,,
3507,DC,DC38,Pleternica - istok,LC41078,LC41063,6.8,45.29465,17.82578
3505,DC,DC38,Kuzmica,ŽC4116,LC41058,1.6,45.327323,17.754796
3532,DC,DC38,Požega,DC51,DC51,10.0,45.33187,17.65082
3504,DC,DC38,Pasikovci,ŽC4113,LC41018,1.3,45.388341,17.508602
3401,DC,DC38,Pakrac - istok,ŽC4099,LC41017,10.0,45.46265,17.23758
3202,DC,DC37,Novo Selište,DC30,ŽC3198,2.3,45.439022,16.246794
3203,DC,DC37,Petrinja,DC224,LC33051,3.3,45.44178,16.33533
3215,DC,DC37,Sisak,DC36,DC224,6.1,45.44813,16.36903
2127,DC,DC36,Popovača - zapad,AC3,ŽC3124,2.9,45.56722,16.61973
2117,DC,DC36,Stružec,ŽC3161,LC33017,0.8,,
2806,DC,DC44,Lupoglav - sjever,LC50080,ŽC5014,3.4,45.357962,14.101638
2706,DC,DC44,Fontana,LC50029,ŽC5013,2.9,45.40508,13.95193
2750,DC,DC44,Ponte Porton,LC50043,DC200,9.4,,
2015,DC,DC43,Caginec,ŽC3124,ŽC3074,1.9,45.71278,16.44982
2152,DC,DC43,Čazma - sjever,LC37054,DC26,3.8,45.75432,16.62405
2108,DC,DC43,Narta - sjever,DC544,ŽC3084,5.9,45.8407,16.82257
2145,DC,DC43,Bjelovar,DC548,DC544,0.7,45.88257,16.81753
2105,DC,DC43,Markovac,DC28,DC548,2.9,,
2140,DC,DC43,Kupinovac,ŽC3025,DC28,2.7,45.94422,16.88988
1314,DC,DC43,Hampovica,ŽC2183,ŽC2236,9.8,46.015649,16.948873
4314,DC,DC42,Čatrnja,LC34161,DC1,2.0,44.96047,15.64233
4306,DC,DC42,Saborsko - istok,ŽC5113,DC429,24.1,,
3043,DC,DC42,Oštarije,AC1,LC34134,1.2,,
3010,DC,DC42,Sveti Petar,LC34099,ŽC3254,3.9,,
3041,DC,DC42,Gomirje,AC6,LC58038,0.9,45.3628,15.09242
1311,DC,DC41,Sokolovac,LC26073,ŽC2181,0.5,46.107794,16.709016
2712,DC,DC48,Tinjan,LC50190,LC50099,1.1,,
3207,DC,DC47,Hrv. Kostajnica - zapad,DC30,LC33165,6.6,,
3308,DC,DC47,Slabinja,LC33177,ŽC3264,13.6,,
3306,DC,DC47,Bročice,AC3,ŽC3250,3.3,45.305844,16.949369
3402,DC,DC47,Jagma,ŽC4236,ŽC4112,2.0,,
3810,DC,DC46,Tovarnik,ŽC4233,GP,2.1,45.160412,19.164485
