year,category,oznaka_ceste,road_number,counter_id,naziv,smjer,pgdp,pldp,od,do,section_desc,length_km,brojenje,lat,lon,od_loc,do_loc,length_km_loc,naziv_loc
2024,AC,A3,A3,3514,Lužani - istok,istok,21242.0,29376.0,čv. Lužani,čv. Slavonski Brod (zapad),čv. Lužani - čv. Slavonski Brod (zapad),20.3,NB,,,,,,
2024,AC,A3,A3,3511,Slavonski Brod (zapad) - istok,istok,17770.0,25313.0,čv. Slavonski Brod (zap.),čv. Slavonski Brod (ist.),čv. Slavonski Brod (zap.) - čv. Slavonski Brod (ist.),11.5,NB,,,,,,
2024,AC,A3,A3,3609,Slavonski Brod (istok) - istok,istok,19907.0,27484.0,čv. Slavonski Brod (istok),čv. Sredanci,čv. Slavonski Brod (istok) - čv. Sredanci,20.1,NB,,,,,,
2024,AC,A3,A3,3617,čv. Sredanci - istok,istok,15206.0,22232.0,čv. Sredanci,čv. Velika Kopanica,čv. Sredanci - čv. Velika Kopanica,7.5,NB,,,,,,
2024,AC,A3,A3,3613,Velika Kopanica - istok,istok,14050.0,20916.0,čv. Velika Kopanica,čv. Babina Greda,čv. Velika Kopanica - čv. Babina Greda,12.6,NB,,,,,,
2024,AC,A3,A3,3714,Babina Greda - istok,istok,13856.0,20717.0,čv. Babina Greda,čv. Županja,čv. Babina Greda - čv. Županja,12.2,NB,,,,,,
2024,AC,A3,A3,3716,Županja - istok,istok,9043.0,14479.0,čv. Županja,čv. Spačva,čv. Županja - čv. Spačva,17.2,NB,,,,,,
2024,AC,A3,A3,3807,Spačva - istok,istok,8425.0,12984.0,čv. Spačva,čv. Lipovac,čv. Spačva - čv. Lipovac,12.8,NB,,,,,,
2024,AC,A4,A4,1303,Čakovec - sjever,sjever,5256.0,14165.0,čv. Goričan,čv. Čakovec,čv. Goričan - čv. Čakovec,14.0,NB,,,,,,
2024,AC,A4,A4,1306,Ludbreg - sjever,sjever,8457.0,17675.0,čv. Čakovec,čv. Ludbreg,čv. Čakovec - čv. Ludbreg,8.2,NB,,,,,,
2024,AC,A4,A4,1212,Varaždin - sjever,sjever,10128.0,19569.0,čv. Ludbreg,čv. Varaždin,čv. Ludbreg - čv. Varaždin,7.2,NB,,,,,,
2024,AC,A4,A4,1215,Varaždinske Toplice - sjever,sjever,16117.0,25689.0,čv. Varaždin,čv. Varaždinske Toplice,čv. Varaždin - čv. Varaždinske Toplice,6.3,NB,,,,,,
2024,AC,A4,A4,1220,Novi Marof - sjever,sjever,14995.0,24623.0,čv. Varaždinske Toplice,čv. Novi Marof,čv. Varaždinske Toplice - čv. Novi Marof,8.3,NB,,,,,,
2024,AC,A4,A4,1225,Breznički Hum - sjever,sjever,15232.0,24809.0,čv. Novi Marof,čv. Breznički Hum,čv. Novi Marof - čv. Breznički Hum,9.7,NB,,,,,,
2024,AC,A4,A4,1229,Komin - sjever,sjever,15899.0,25466.0,čv. Breznički Hum,čv. Komin,čv. Breznički Hum - čv. Komin,12.3,NB,,,,,,
2024,AC,A4,A4,2002,Sveta Helena - sjever,sjever,16651.0,26138.0,čv. Komin,čv. Sveta Helena,čv. Komin - čv. Sveta Helena,10.6,NB,,,,,,
2024,AC,A5,A5,2528,Beli Manastir - jug,jug,1843.0,2432.0,čv. Beli Manastir,čv. Osijek,čv. Beli Manastir - čv. Osijek,25.1,NB,,,,,,
2024,AC,A5,A5,2515,Osijek - jug,jug,5075.0,5944.0,čv. Osijek,čv. Čepin,čv. Osijek - čv. Čepin,8.8,NB,,,,,,
2024,AC,A5,A5,3620,Čepin - jug,jug,6052.0,7023.0,čv. Čepin,čv. Đakovo,čv. Čepin - čv. Đakovo,23.8,NB,,,,,,
2024,AC,A5,A5,3616,Đakovo - jug,jug,6682.0,7812.0,čv. Đakovo,čv. Sredanci,čv. Đakovo - čv. Sredanci,21.0,NB,,,,,,
2024,AC,A5,A5,3629,čv. Sredanci - jug,jug,2409.0,3248.0,čv. Sredanci,čv. Svilaj,čv. Sredanci - čv. Svilaj,2.6,NB,,,,,,
2024,AC,A6,A6,3022,čv. Bosiljevo 2 - zapad,zapad,16730.0,28965.0,čv. Bosiljevo 2,čv. Vrbovsko,čv. Bosiljevo 2 - čv. Vrbovsko,13.8,NB,,,,,,
2024,AC,A6,A6,3006,Vrbovsko - zapad,zapad,17316.0,29803.0,čv. Vrbovsko,čv. Ravna Gora,čv. Vrbovsko - čv. Ravna Gora,15.3,NB,,,,,,
2024,AC,A6,A6,2906,Ravna Gora - zapad,zapad,17289.0,29789.0,čv. Ravna Gora,čv. Delnice,čv. Ravna Gora - čv. Delnice,11.0,NB,,,,,,
2024,AC,A6,A6,2910,Delnice - zapad,zapad,18409.0,31493.0,čv. Delnice,čv. Vrata,čv. Delnice - čv. Vrata,8.9,NB,,,,,,
2024,AC,A6,A6,2915,Vrata - zapad,zapad,18421.0,31434.0,čv. Vrata,čv. Oštrovica,čv. Vrata - čv. Oštrovica,12.4,NB,,,,,,
2024,AC,A6,A6,2933,Oštrovica - zapad,zapad,14006.0,21156.0,čv. Oštrovica,čv. Kikovica (Rijeka),čv. Oštrovica - čv. Kikovica (Rijeka),9.0,NB,,,,,,
2024,AC,A7,A7,2818,NP Rupa,,9064.0,17656.0,čv. Rupa,čv. Jurdani,čv. Rupa - čv. Jurdani,9.5,NB,,,,,,
2024,AC,A8,A8,2741,Kanfanar - istok,istok,8737.0,13542.0,čv. Kanfanar,čv. Žminj,čv. Kanfanar - čv. Žminj,7.3,NB,,,,,,
2024,AC,A8,A8,2743,Žminj - istok,istok,8244.0,12668.0,čv. Žminj,čv. Rogovići,čv. Žminj - čv. Rogovići,10.9,NB,,,,,,
2024,AC,A8,A8,2745,Rogovići - istok,istok,9122.0,13453.0,čv. Rogovići,čv. Ivoli,čv. Rogovići - čv. Ivoli,5.8,NB,,,,,,
2024,AC,A8,A8,2824,Ivoli - istok,istok,9810.0,14092.0,čv. Ivoli,čv. Cerovlje,čv. Ivoli - čv. Cerovlje,4.9,NB,,,,,,
2024,AC,A8,A8,2826,Cerovlje - istok,istok,9613.0,13886.0,čv. Cerovlje,čv. Lupoglav,čv. Cerovlje - čv. Lupoglav,12.8,NB,,,,,,
2024,AC,A8,A8,2828,Lupoglav - istok,istok,10354.0,14388.0,čv. Lupoglav,čv. Vranja,čv. Lupoglav - čv. Vranja,5.9,NB,,,,,,
2024,AC,A8,A8,2830,Vranja - istok,istok,11736.0,15988.0,čv. Vranja,čv. Veprinac,čv. Vranja - čv. Veprinac,9.7,NB,,,,,,
2024,AC,A9,A9,2729,Umag - jug,jug,9947.0,20647.0,čv. Umag,čv. Buje,čv. Umag - čv. Buje,6.0,NB,,,,,,
2024,AC,A9,A9,2731,Buje - jug,jug,11434.0,22691.0,čv. Buje,čv. Nova Vas,čv. Buje - čv. Nova Vas,6.2,NB,,,,,,
2024,AC,A9,A9,2733,Nova Vas - jug,jug,10304.0,20359.0,čv. Nova Vas,čv. Višnjan,čv. Nova Vas - čv. Višnjan,14.3,NB,,,,,,
2024,AC,A9,A9,2735,Višnjan - jug,jug,9869.0,19196.0,čv. Višnjan,čv. Baderna,čv. Višnjan - čv. Baderna,7.6,NB,,,,,,
2024,AC,A9,A9,2737,Baderna - jug,jug,10134.0,19450.0,čv. Baderna,čv. Medaki,čv. Baderna - čv. Medaki,7.7,NB,,,,,,
2024,AC,A9,A9,2739,Medaki - jug,jug,11030.0,20405.0,čv. Medaki,čv. Kanfanar,čv. Medaki - čv. Kanfanar,7.4,NB,,,,,,
2024,AC,A9,A9,2727,Kanfanar - jug,jug,11774.0,21039.0,čv. Kanfanar,čv. Vodnjan (sjever),čv. Kanfanar  - čv. Vodnjan (sjever),14.5,NB,,,,,,
2024,AC,A9,A9,3907,Vodnjan (sjever) - jug,jug,10004.0,18214.0,čv. Vodnjan (sjever),čv. Vodnjan (jug),čv. Vodnjan (sjever) - čv. Vodnjan (jug),6.2,NB,,,,,,
2024,AC,A9,A9,3909,Vodnjan (jug) - jug,jug,10315.0,18007.0,čv. Vodnjan (jug),čv. Pula,čv. Vodnjan (jug) - čv. Pula,6.9,NB,,,,,,
2024,AC,A10,A10,6105,čv. Ploče - istok,istok,3042.0,5264.0,čv. Kula Norinska,čv. Ploče,čv. Kula Norinska - čv. Ploče,6.7,NB,,,,,,
2024,AC,A11,A11,2031,Mraclin - jug,jug,11013.0,10724.0,Mraclin,Buševec,Mraclin - Buševec,9.0,NB*,,,,,,
2024,AC,A11,A11,2047,Buševec - jug,jug,9894.0,9835.0,Buševec,LCekenik,Buševec - Lekenik,11.2,NB*,,,,,,
2024,ZC,ŽC1036,1036,2049,Otok Svibovski,,2191.0,2044.0,LC10160,LC10161,L10160 - L10161,3.4,NAB,45.78095,16.15712,LC10160,LC10161,3.4,Otok Svibovski
2024,ZC,ŽC1037,1037,1939,Bregana Pisarovinska,,1829.0,2386.0,LC31186,ŽC3106,L31186 - Ž3106,3.1,NAB,45.61777,15.85977,LC31186,ŽC3106,3.1,Bregana Pisarovinska
2024,ZC,ŽC2002,2002,1249,Jalšovec,,917.0,916.0,LC20084,DC227,L20084 - D227,1.2,NAB,46.49885,16.29997,LC20084,DC227,1.2,Jalšovec
2024,ZC,ŽC2003,2003,1322,Turčišće,,2365.0,2325.0,LC20030,ŽC2023,L20030 - Ž2023,2.8,NAB,46.42007,16.5971,LC20030,ŽC2023,2.8,Turčišće
2024,ZC,ŽC2005,2005,1242,Selnica,,3487.0,3323.0,ŽC2006,ŽC2253,Ž2006 - Ž2253,2.0,NAB,46.4858,16.40383,ŽC2006,ŽC2253,2.0,Selnica
2024,ZC,ŽC2009,2009,1241,Macinec,,2437.0,2404.0,LC20056,DC208,L20056 - D208,1.5,NAB,46.38542,16.32487,LC20056,DC208,1.5,Macinec
2024,ZC,ŽC2015,2015,1240,Nedelišće,,4375.0,4191.0,LC20052,DC3,L20052 - D3,1.4,NAB,46.38227,16.37432,LC20052,DC3,1.4,Nedelišće
2024,ZC,ŽC2022,2022,1333,Mala Subotica,,1320.0,1301.0,LC20035,DC20,L20035 - D20,2.3,NAB,46.36703,16.52417,LC20035,DC20,2.3,Mala Subotica
