cesta,counter_id,naziv,pocetak,kraj,v_max_dop,v_avg_smjer1,v_avg_smjer2,v85_smjer1,v85_smjer2,year,v_avg,v85_avg
DC56,5413,Kljake,Ž6097,Ž6099,50,80.0,87.0,95.0,100.0,2023,83.5,97.5
DC58,5326,Bioci,luka,D8,50,63.0,64.0,73.0,75.0,2023,63.5,74.0
DC58,5320,Donje Polje,D8,D531,60,65.0,71.0,77.0,84.0,2023,68.0,80.5
DC58,5406,Seget Donji,Ž6129,D8,50,62.0,63.0,72.0,72.0,2023,62.5,72.0
DC59,5319,Čista Mala - jug,Ž6071,D27,80,89.0,89.0,100.0,103.0,2023,89.0,101.5
DC59,5324,Dubrava kod Tisna,L65031,D8,60,61.0,63.0,73.0,77.0,2023,62.0,75.0
DC60,5510,Cista Velika,L67093,Ž6153,60,81.0,84.0,95.0,97.0,2023,82.5,96.0
DC60,5901,Lovreć,L67101,Ž6173,60,66.0,69.0,77.0,82.0,2023,67.5,79.5
DC60,6001,Grubine,L67159,Ž6186,60,62.0,65.0,71.0,75.0,2023,63.5,73.0
DC60,6012,Vinjani Donji,D76,L67161,50,60.0,63.0,69.0,73.0,2023,61.5,71.0
DC62,6014,Zagvozd,D76,L67143,50,43.0,50.0,50.0,59.0,2023,46.5,54.5
DC64,2820,Pićan,L50086,L50123,50,64.0,68.0,73.0,77.0,2023,66.0,75.0
DC64,2831,Vozilići - sjever,D500,D66,90,82.0,81.0,95.0,92.0,2023,81.5,93.5
DC66,2747,Kujići,L50145,L50182,90,85.0,85.0,97.0,100.0,2023,85.0,98.5
DC66,2815,Stepčići,L50185,D64,60,65.0,68.0,75.0,78.0,2023,66.5,76.5
DC66,2814,Medveja,Ž5082,Ž5050,50,58.0,57.0,67.0,65.0,2023,57.5,66.0
DC66,2813,Opatija - jug,Ž5048,Ž5051,50,48.0,50.0,55.0,57.0,2023,49.0,56.0
DC70,5918,Omiš - sjever,D8,Ž6165,50,48.0,48.0,54.0,55.0,2023,48.0,54.5
DC72,3626,Slavonski Brod 2,D53,D423,50,49.0,51.0,56.0,58.0,2023,50.0,57.0
DC74,1126,Bednja,L25013,L25108,40,57.0,57.0,64.0,67.0,2023,57.0,65.5
DC75,2755,Marija na Krasu,Ž5214,L50005,80,68.0,78.0,78.0,88.0,2023,73.0,83.0
DC75,2708,Dajla,L50040,D301,50,56.0,56.0,64.0,64.0,2023,56.0,64.0
DC75,2765,Vrvari,L50046,D302,70,58.0,63.0,65.0,71.0,2023,60.5,68.0
DC75,2757,Funtana,L50091,Ž5071,60,62.0,58.0,71.0,65.0,2023,60.0,68.0
DC75,2717,Bale,Ž5098,Ž5096,60,66.0,66.0,80.0,82.0,2023,66.0,81.0
DC75,3905,Pula - sjever,Ž5117,L50160,60,65.0,65.0,73.0,75.0,2023,65.0,74.0
DC76,6026,Tunel Sveti Ilija,L67177,A1,100,77.0,82.0,86.0,92.0,2023,79.5,89.0
DC76,6037,Poljica,Ž6178,L67150,60,62.0,63.0,72.0,73.0,2023,62.5,72.5
DC77,2751,Žminj,Ž5077,L50132,60,77.0,78.0,88.0,90.0,2023,77.5,89.0
DC77,3915,Vodnjan,L50144,Ž5101,80,78.0,80.0,88.0,95.0,2023,79.0,91.5
DC100,4006,Cres,D101,Ž5124,40,77.0,76.0,88.0,90.0,2023,76.5,89.0
DC100,4003,Ćunski,L58115,Ž5157,60,64.0,66.0,73.0,77.0,2023,65.0,75.0
DC102,2948,Most Krk,D103,Ž5083,90,71.0,72.0,82.0,82.0,2023,71.5,82.0
DC102,2922,Omišalj,L58065,D129,90,79.0,74.0,90.0,82.0,2023,76.5,86.0
DC102,2934,Krk,Ž5131,Ž5131,80,76.0,80.0,86.0,90.0,2023,78.0,88.0
DC102,2946,Punat sjever,Ž5125,Ž5183,50,64.0,71.0,75.0,84.0,2023,67.5,79.5
DC104,2947,Strilčići,L58070,L58085,60,77.0,79.0,90.0,95.0,2023,78.0,92.5
DC105,4106,Barbat na Rabu,Ž5139,TP,40/60,63.0,59.0,73.0,69.0,2023,61.0,71.0
DC106,4801,Most otok Pag,Ž6005,Ž6007,90,74.0,77.0,84.0,90.0,2023,75.5,87.0
DC106,4822,Vulete,Ž6007,L63027,50,75.0,74.0,88.0,86.0,2023,74.5,87.0
DC113,5907,Supetar - jug,D114,L67172,60,50.0,47.0,56.0,54.0,2023,48.5,55.0
DC116,5927,Dubovica,Ž6280,Ž6252,50,65.0,61.0,73.0,71.0,2023,63.0,72.0
DC116,5917,Jelsa,L67194,L67196,90,67.0,64.0,78.0,75.0,2023,65.5,76.5
DC118,6403,Žrnovo,L69073,L69073,60,75.0,77.0,86.0,90.0,2023,76.0,88.0
DC121,5338,Ivinj,Ž6085,L65032,60,69.0,72.0,78.0,82.0,2023,70.5,80.0
DC126,5443,Trogir,Ž6133,Ž6134,50,47.0,41.0,54.0,50.0,2023,44.0,52.0
DC126,5445,Mastrinka,Ž6134,Ž6136,40,57.0,56.0,65.0,64.0,2023,56.5,64.5
DC200,2701,Plovanija,GP,D510,60,57.0,59.0,63.0,67.0,2023,58.0,65.0
DC200,2707,Sveti Ivan,L50015,Ž5008,50,70.0,72.0,82.0,84.0,2023,71.0,83.0
DC201,2704,Štrped,L50026,D44,50,61.0,62.0,71.0,71.0,2023,61.5,71.0
DC203,2936,Mala Lešnica,L58022,D3,50,57.0,53.0,65.0,62.0,2023,55.0,63.5
DC204,3040,Bosanci,D3,Ž3175,50,77.0,77.0,86.0,86.0,2023,77.0,86.0
DC207,1124,Hromec,GP,Ž2096,50,67.0,67.0,77.0,78.0,2023,67.0,77.5
DC209,1001,Mursko Središće,Ž2003,L20003,50,52.0,46.0,61.0,52.0,2023,49.0,56.5
DC209,1201,Šenkovec,L20079,D227,50,53.0,57.0,61.0,66.0,2023,55.0,63.5
DC212,2502,Suza,Ž4037,L44011,60,74.0,74.0,84.0,86.0,2023,74.0,85.0
DC214,4501,Posavski Podgajci,Ž4230,L46054,90,85.0,90.0,100.0,106.0,2023,87.5,103.0
DC216,3109,Miholjsko,Ž3224,L34144,50,74.0,75.0,86.0,86.0,2023,74.5,86.0
DC217,4301,Ličko Petrovo Selo,D1,GP,60,68.0,66.0,78.0,77.0,2023,67.0,77.5
DC220,5520,Ćaporice,Ž6260,D60,90,89.0,98.0,103.0,112.0,2023,93.5,107.5
DC220,5506,Kamensko,Ž6125,GP,60,80.0,77.0,92.0,88.0,2023,78.5,90.0
DC223,6610,Dubac,Ž6243,D8,50,63.0,63.0,73.0,72.0,2023,63.0,72.5
DC224,3304,Sunja,Ž3244,Ž3211,50,54.0,56.0,62.0,64.0,2023,55.0,63.0
DC227,1243,Brezje,Ž2015,D209,90,76.0,78.0,88.0,88.0,2023,77.0,88.0
DC228,1805,Kamanje,Ž3097,Ž3296,80,62.0,62.0,71.0,71.0,2023,62.0,71.0
DC228,1934,Mahićno,Ž3143,D1,50,60.0,60.0,68.0,68.0,2023,60.0,68.0
DC236,6501,Klek,D8,Ž6279,60,69.0,70.0,82.0,86.0,2023,69.5,84.0
DC237,6503,Zaton Doli,Ž6227,Ž6295,90,82.0,86.0,97.0,100.0,2023,84.0,98.5
DC306,4808,Kožino,L63048,D8,90,69.0,69.0,78.0,78.0,2023,69.0,78.0
DC307,1936,Oroslavje,L22069,L22069,50,50.0,49.0,57.0,56.0,2023,49.5,56.5
DC310,1953,Jastrebarsko,L31139,A1,50/60,72.0,69.0,84.0,82.0,2023,70.5,83.0
DC408,2035,Velika Gorica (smjer DC30) zr.,luka,D30,60,67.0,70.0,80.0,84.0,2023,68.5,82.0
DC408,2035,Velika Gorica (smjer zračna luka) D30,zr.,luka,60,74.0,72.0,88.0,86.0,2023,73.0,87.0
DC409,5444,Divulje,D8,D8,40,50.0,47.0,60.0,58.0,2023,48.5,59.0
DC413,6038,Ploče,D425,Ž6216,50,50.0,53.0,61.0,64.0,2023,51.5,62.5
DC414,6401,Golubinica,Ž69025,D415,90,62.0,70.0,71.0,78.0,2023,66.0,74.5
DC414,6502,Putniković,Ž6226,D8,90,75.0,77.0,86.0,86.0,2023,76.0,86.0
DC415,6404,Kosarni Do,L69026,D414,60,55.0,57.0,62.0,64.0,2023,56.0,63.0
DC420,6609,Sustjepan,D8,luka,60,60.0,58.0,68.0,65.0,2023,59.0,66.5
DC423,3625,Slavonski Brod 1,D514,D72,50,49.0,49.0,54.0,56.0,2023,49.0,55.0
DC424,4820,Gaženica (smjer A1),D8,D422,80,112.0,123.0,129.0,139.0,2023,117.5,134.0
DC424,4820,Gaženica (smjer Zadar),D422,D8,80,107.0,118.0,124.0,133.0,2023,112.5,128.5
DC429,4315,Selište Drežničko,D42,L59024,60,69.0,70.0,78.0,80.0,2023,69.5,79.0
DC429,4311,Jezerce,L59025,D1,70,69.0,68.0,78.0,80.0,2023,68.5,79.0
DC430,2062,Selnica (smjer zračna luka) D30,zr.,luka,70,77.0,84.0,90.0,97.0,2023,80.5,93.5
DC430,2062,Selnica (smjer D30) zr.,luka,D30,70,76.0,78.0,90.0,88.0,2023,77.0,89.0
DC500,2811,Vranja,L50084,L50087,90,76.0,70.0,90.0,86.0,2023,73.0,88.0
DC501,2926,čv. Oštrovica-jug,D3,Ž5059,60,80.0,80.0,88.0,92.0,2023,80.0,90.0
DC501,2918,Križišće,Ž5063,D99,60,68.0,72.0,80.0,84.0,2023,70.0,82.0
DC507,1129,Martinišće,Ž2189,D205,60,82.0,84.0,95.0,97.0,2023,83.0,96.0
DC512,6039,Stupica,Ž6198,Ž6199,40,34.0,36.0,50.0,53.0,2023,35.0,51.5
DC514,3622,Slavonski Brod 3,D53,D423,70,66.0,67.0,77.0,78.0,2023,66.5,77.5
DC515,2418,Našice Obilaznica,D2,Ž4168,90,78.0,86.0,90.0,103.0,2023,82.0,96.5
DC515,3621,Bračevci,L44100,L44101,90,96.0,95.0,113.0,113.0,2023,95.5,113.0
DC517,2403,Belišće-sjever,Ž4033,L44026,90,96.0,100.0,112.0,116.0,2023,98.0,114.0
DC518,2509,Brijest,D2,L44110,40/90,71.0,66.0,80.0,75.0,2023,68.5,77.5
DC518,3741,Jarmina,Ž4134,Ž4149,80,77.0,83.0,90.0,97.0,2023,80.0,93.5
DC522,4918,Lovinac,L59099,Ž5165,90,89.0,102.0,100.0,113.0,2023,95.5,106.5
DC525,3508,Krajačić,Ž4162,Ž4244,90,79.0,81.0,92.0,95.0,2023,80.0,93.5
DC525,3525,Gornji Andrijevci,Ž4244,L42030,50,60.0,62.0,69.0,71.0,2023,61.0,70.0
DC528,1265,Kneginec Donji,D2,Ž2070,80,69.0,76.0,77.0,86.0,2023,72.5,81.5
DC537,3742,Otok,Ž4172,Ž4224,50,50.0,52.0,60.0,63.0,2023,51.0,61.5
DC540,2037,Komin,L31003,D3,50,61.0,58.0,71.0,67.0,2023,59.5,69.0
DC541,3042,Veliki Modruš Potok,D6,Ž3141,90,93.0,95.0,106.0,109.0,2023,94.0,107.5
DC543,1943,Donja Zdenčina,D1,Ž3106,50,55.0,55.0,65.0,64.0,2023,55.0,64.5
DC544,2147,Farkaševac,D12,Ž3042,50,78.0,79.0,90.0,95.0,2023,78.5,92.5
DC548,2146,Bjelovar istočna obilaznica,D43,D28,80,87.0,88.0,103.0,103.0,2023,87.5,103.0
