cesta,counter_id,naziv,pocetak,kraj,v_max_dop,v_avg_smjer1,v_avg_smjer2,v85_smjer1,v85_smjer2,year,v_avg,v85_avg
DC1,5418,Kijevo,Ž6058,Ž6083,60,79.0,77.0,95.0,90.0,2023,78.0,92.5
DC1,5524,Sinj,Ž6118,D219,50,69.0,72.0,78.0,83.0,2023,70.5,80.5
DC1,5504,Brnaze,D60,L67041,50,60.0,58.0,71.0,67.0,2023,59.0,69.0
DC1,5526,Dicmo,Ž6119,Ž6120,60,67.0,70.0,75.0,80.0,2023,68.5,77.5
DC1,5523,Dugopolje (smjer Split),A1,D56,90,87.0,104.0,103.0,116.0,2023,95.5,109.5
DC1,5523,Dugopolje (smjer A1),D56,A1,90,96.0,104.0,110.0,117.0,2023,100.0,113.5
DC1,5441,Dračevac (smjer Split),D56,D8,50,34.0,41.0,57.0,63.0,2023,37.5,60.0
DC1,5441,Dračevac (smjer Dugopolje),D8,D56,80,73.0,82.0,84.0,90.0,2023,77.5,87.0
DC2,1203,Dubrava Križovljanska,GP,Ž2027,50,65.0,64.0,75.0,73.0,2023,64.5,74.0
DC2,1208,Majerje,Ž2046,Ž2037,50,60.0,61.0,68.0,69.0,2023,60.5,68.5
DC2,1266,Poljana Biškupečka,Ž2050,D528,80,90.0,91.0,103.0,103.0,2023,90.5,103.0
DC2,1210,Varaždin - jug (smjer sjever),D528,D3,90,78.0,80.0,90.0,92.0,2023,79.0,91.0
DC2,1210,Varaždin - jug (smjer jug),D3,D528,90,80.0,83.0,92.0,92.0,2023,81.5,92.0
DC2,1244,Trnovec Bartolovečki,Ž2053,L25082,90,82.0,85.0,95.0,100.0,2023,83.5,97.5
DC2,1307,Ludbreg - zapad,L25094,Ž2075,60,65.0,67.0,73.0,77.0,2023,66.0,75.0
DC2,1308,Ludbreg - istok,D24,L25104,50,64.0,66.0,73.0,75.0,2023,65.0,74.0
DC2,1323,Koprivnica - jug,D41,D41,70,73.0,74.0,82.0,84.0,2023,73.5,83.0
DC2,1312,Plavšinac,L26034,L26100,60,70.0,72.0,82.0,84.0,2023,71.0,83.0
DC2,1403,Đurđevac,Ž2247,L26112,60,68.0,65.0,78.0,75.0,2023,66.5,76.5
DC2,2201,Kloštar Podravski,Ž2185,L40001,50/70,68.0,63.0,80.0,80.0,2023,65.5,80.0
DC2,2217,Pitomača - istok,Ž4002,L40005,70,63.0,63.0,72.0,72.0,2023,63.0,72.0
DC2,2203,Virovitica,D5,D538,50,69.0,67.0,78.0,78.0,2023,68.0,78.0
DC2,2302,Cabuna,L40034,L40036,70,72.0,71.0,84.0,84.0,2023,71.5,84.0
DC2,2307,Slatina obilaznica,Ž4296,D34,90,97.0,101.0,112.0,120.0,2023,99.0,116.0
DC2,2305,Čačinci - jug,Ž4063,D314,70,85.0,84.0,100.0,97.0,2023,84.5,98.5
DC2,3635,Martin,D53,Ž4077,50,70.0,67.0,80.0,78.0,2023,68.5,79.0
DC2,2407,Našice,L44044,L44045,50,76.0,85.0,90.0,100.0,2023,80.5,95.0
DC2,2406,Bizovac - zapad,L44052,Ž4060,50,47.0,49.0,55.0,58.0,2023,48.0,56.5
DC2,2508,Osijek južna obilaznica (smjer istok),D7,Mandića,90,98.0,110.0,112.0,120.0,2023,104.0,116.0
DC2,3701,Klisa aerodrom - sjever,L44115,D418,60,91.0,92.0,106.0,109.0,2023,91.5,107.5
DC2,3723,Vukovar (smjer Sotin),D55,D57,50,70.0,74.0,83.0,86.0,2023,72.0,84.5
DC2,3723,Vukovar (smjer Klisa),D57,D55,50,69.0,74.0,78.0,84.0,2023,71.5,81.0
DC2,3801,Sotin,Ž4152,L46013,50,60.0,64.0,71.0,75.0,2023,62.0,73.0
DC3,1234,Čakovec,D20,D209,80,77.0,77.0,88.0,88.0,2023,77.0,88.0
DC3,1221,Novi Marof,Ž2109,Ž2136,50,69.0,68.0,77.0,77.0,2023,68.5,77.0
DC3,1245,Paka,Ž2134,Ž2171,90,77.0,79.0,88.0,90.0,2023,78.0,89.0
DC3,2003,Blažev Dol,L31036,Ž3016,70,73.0,73.0,82.0,82.0,2023,73.0,82.0
DC3,3003,Duga Resa,D1,D23,50,58.0,60.0,67.0,69.0,2023,59.0,68.0
DC3,3032,Lišnica,L34065,L34064,60,75.0,76.0,86.0,86.0,2023,75.5,86.0
DC3,3005,Vrbovsko,L58032,D42,60,71.0,69.0,82.0,78.0,2023,70.0,80.0
DC3,2905,Delnice,D203,D32,50,53.0,56.0,62.0,64.0,2023,54.5,63.0
DC3,2935,Gornje Jelenje,Ž5032,D501,50,75.0,77.0,90.0,92.0,2023,76.0,91.0
