counter_id,category,oznaka_ceste,naziv,od,do,length_km,lat,lon,matched_oznaka_ceste,kategorija_full,seg_id,dist_m,match_method,confidence
5324,DC,DC59,Dubrava kod Tisna,LC65031,DC8,7.0,43.81707,15.70778,DC59,državna cesta,5927,8.656978320759155,exact_road_name,high
5325,DC,DC8,Primošten - jug,LC65075,LC65076,4.9,43.57035,15.94495,DC8,državna cesta,7641,0.7394455537638179,exact_road_name,high
5326,DC,DC58,Bioci,luka,DC8,3.0,43.71928,15.90977,DC58,državna cesta,5775,0.4793933094361244,exact_road_name,high
5327,ZC,ŽC6286,Vodice,ŽC6086,G.A.P.,2.5,43.762897,15.778421,ŽC6286,županijska cesta,6602,1.561047321642097,exact_road_name,high
5329,DC,DC56,Bulić,LC63151,ŽC6067,0.3,43.96572,15.7278,DC56,državna cesta,5760,4.216688755768585,exact_road_name,high
5330,ZC,ŽC6126,Rogoznica,DC8,Rogozn.,1.1,43.53828,15.96783,ŽC6126,županijska cesta,6306,3.263310579686123,exact_road_name,high
5331,LC,LC65076,Draga,ŽC6127,LC65075,4.2,43.6003,15.9704,LC65076,lokalna cesta,6962,5.750798141235682,exact_road_name,high
5332,ZC,ŽC6086,Tribunj,ŽC6286,LC65032,2.1,43.75897,15.75415,ŽC6086,županijska cesta,6247,4.0743026594168885,exact_road_name,high
5334,LC,LC65075,Primošten,DC8,LC65076,2.4,43.58697,15.9356,LC65075,lokalna cesta,6961,3.6380656212758256,exact_road_name,high
5335,DC,DC8,Vodice obilaznica,ŽC6086,DC27,5.8,43.775339,15.773968,DC8,državna cesta,7701,2.792499705941515,exact_road_name,high
5336,DC,DC8,Ražine,DC58,Ražinska Ul.,2.4,43.70322,15.90723,DC8,državna cesta,7641,1.6288054807401953,exact_road_name,high
5337,ZC,ŽC6086,Vodice - sjever,DC8,ŽC6286,1.2,43.77404,15.77287,ŽC6086,županijska cesta,6247,1.0462507655871662,exact_road_name,high
5338,DC,DC121,Ivinj,ŽC6085,LC65032,5.6,43.80293,15.6732,DC121,državna cesta,362,2.4399274987174033,exact_road_name,high
5406,ZC,ŽC6293,Seget Donji,ŽC6129,DC8,8.9,43.520073,16.221039,ŽC6293,županijska cesta,9076,1.674825255194246,exact_road_name,high
5407,DC,DC8,Marina,LC65078,ŽC6130,3.6,43.513627,16.104731,DC8,državna cesta,7641,9.862188703116225,exact_road_name,high
5412,DC,DC33,Pakovo Selo,ŽC6094,LC65083,6.1,43.829347,16.087181,DC33,državna cesta,2949,3.96361376294148,exact_road_name,high
5413,DC,DC56,Kljake,ŽC6097,ŽC6099,4.6,43.778229,16.326668,DC56,državna cesta,5759,1.7516001596389716,exact_road_name,high
5418,DC,DC1,Kijevo,LC65013,LC65016,2.7,43.983669,16.352127,DC1,državna cesta,18,0.17393812234521988,exact_road_name,high
